"state","votes","prob"
"AK",3,0.0864673835458212
"AL",9,0.0707001215405995
"AR",6,0.0532531295241815
"AZ",11,0.450861311019361
"CA",55,0.933500054224124
"CO",9,0.641621183946163
"CT",7,0.870394292746423
"DC",3,0.993803092760396
"DE",3,0.894699581410247
"FL",29,0.544486995854446
"GA",16,0.358919166532855
"HI",4,0.977546226071589
"IA",6,0.167438398337759
"ID",4,0.026442051468337
"IL",20,0.883012490168878
"IN",11,0.0684329642059694
"KS",6,0.0511495783970762
"KY",8,0.0396462219909579
"LA",8,0.0949824562027704
"MA",11,0.904478831764131
"MD",10,0.937882577982925
"ME",2,0.605539729797227
"ME-01",1,0.846337640468694
"ME-02",1,0.183564634438501
"MI",16,0.501426587971897
"MN",10,0.586149668915685
"MO",10,0.0735871518310618
"MS",6,0.119330734684379
"MT",3,0.0596929120136613
"NC",15,0.479417366402689
"ND",3,0.0314499822446633
"NE",2,0.0439217257057322
"NE-01",1,0.0449950702252529
"NE-02",1,0.345653090912775
"NE-03",1,0.0182179588303897
"NH",4,0.547056202169063
"NJ",14,0.895436952084312
"NM",5,0.877019309760617
"NV",6,0.8408000125119
"NY",29,0.847467197256121
"OH",18,0.190592242791541
"OK",7,0.0377437240090328
"OR",7,0.842125356476785
"PA",20,0.485089117204406
"RI",4,0.889106857829961
"SC",9,0.114692129874492
"SD",3,0.0462484616332809
"TN",11,0.0550601551414732
"TX",38,0.295120158720275
"UT",6,0.020470646869427
"VA",13,0.702877165448293
"VT",3,0.900283636620238
"WA",12,0.867780660705413
"WI",10,0.450440545662054
"WV",5,0.0301355885909452
"WY",3,0.0158530537008504
